Vezéknév;Keresztnév;Azonosító;Terem;Egyenletek megoldása;Szöveges feladatok;Szaknyelv használata;Sorozatok szabályai;Táblázatok értelmezése;Diagramok értelmezése;Sík és térgeometria;Valószínűségszámítás;Mérés és átváltás
Kovács;Péter;1632116;113;8;9;9;0;1;3;1;5;7
Szabó;Anna;1058222;113;4;7;2;9;2;3;3;0;2
Tóth;László;1974399;113;5;8;0;2;9;0;6;4;8
Horváth;Éva;1420465;113;5;5;10;7;3;10;6;6;3
Nagy;Zoltán;1593051;113;6;5;6;2;2;6;8;6;4
Varga;Mária;1084608;113;2;5;9;0;3;1;3;3;4
Kiss;Gábor;1884905;113;1;6;10;8;10;0;5;1;9
Molnár;Katalin;1384850;113;0;4;8;3;5;6;1;5;6
Németh;Tamás;1582800;117;9;3;3;6;8;8;7;0;10
Farkas;Viktória;1805115;117;3;0;4;4;8;5;7;9;0
Balogh;István;1006434;117;3;1;9;7;6;3;4;3;3
Lakatos;Bence;1915415;117;6;2;3;3;9;7;6;0;10
Juhász;Noémi;1933863;117;8;9;9;9;8;2;3;10;6
Oláh;Attila;1878892;117;8;2;6;1;2;3;3;1;10
Takács;Dóra;1396250;117;0;6;7;6;9;2;6;0;5
Szilágyi;Ádám;1562150;201;3;4;10;7;8;9;3;4;2
Fehér;Eszter;1519692;201;9;7;4;5;0;3;8;4;6
Simon;Réka;1670514;201;6;5;5;2;0;4;8;6;4
Lengyel;Csaba;1531758;201;8;1;9;3;4;4;4;1;10
Bodnár;Balázs;1957265;201;5;9;6;4;5;2;1;1;5
Veres;Anikó;1849542;304;4;1;7;8;6;1;9;2;8
Hajdú;Norbert;1538163;304;4;7;9;6;7;0;2;0;5
Kocsis;Bianka;1085877;304;3;6;3;8;1;2;6;4;3
Antal;Levente;1754966;304;10;6;7;4;7;8;0;2;8
Mészáros;Bettina;1942538;304;9;9;0;7;10;9;0;10;7
Fülöp;Gergely;1102619;304;2;3;3;7;5;2;5;4;2
Sipos;Alexandra;1045166;304;8;1;0;3;3;0;4;10;2
